p11	P12	dist_E_mean	dist_E_sem	trelax_norm_mean	trelax_norm_sem	sat_frac	reps	TMAX	samples	source
0.8	0.23	0.551531380845	0.00696141298479	0.0740534979424	0.00407013953761	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\high_p11_frontier\raw\initial_plane__N1_500__N2_500__P11_0p80__P12_0p23__P22_0p80__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.83	0.23	0.513288987148	0.0100262140039	0.119300411523	0.00676457422974	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\high_p11_frontier\raw\initial_plane__N1_500__N2_500__P11_0p83__P12_0p23__P22_0p83__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.84	0.23	0.464880294348	0.0131447399945	0.196069958848	0.0142155475152	0.0082304526749	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\followup\raw\initial_plane__N1_500__N2_500__P11_0p84__P12_0p23__P22_0p84__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.85	0.23	0.325262769518	0.0175976452234	0.34537037037	0.0241014654277	0.172839506173	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\followup\raw\initial_plane__N1_500__N2_500__P11_0p85__P12_0p23__P22_0p85__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.86	0.23	0.287501530022	0.0142966115001	0.32187654321	0.0182021129595	0.140740740741	5	400000	405	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\boundary_robustness\raw\initial_plane__N1_500__N2_500__P11_0p86__P12_0p23__P22_0p86__B_1p15__R_0__E_m0p4__ndiv_8__reps_5.txt
0.9	0.23	0.2650115964	0.0191468774413	0.342530864198	0.0239609318358	0.16049382716	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\high_p11_frontier\raw\initial_plane__N1_500__N2_500__P11_0p90__P12_0p23__P22_0p90__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.65	0.24	0.698720739187	0.00366290887162	0.0685802469136	0.00367702015909	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_grid\raw\initial_plane__N1_500__N2_500__P11_0p65__P12_0p24__P22_0p65__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.7	0.24	0.635790748945	0.00431808092806	0.0686008230453	0.00424647930267	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_grid\raw\initial_plane__N1_500__N2_500__P11_0p70__P12_0p24__P22_0p70__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.73	0.24	0.610911669357	0.00501112785018	0.0699382716049	0.0045380112534	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_grid\raw\initial_plane__N1_500__N2_500__P11_0p73__P12_0p24__P22_0p73__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
0.76	0.24	0.594353538243	0.0054922484722	0.0710082304527	0.00401999894488	0	3	400000	243	C:\Users\rbndz\Movistar Cloud\Ruben\3_FISICA\2_Cuatrimestre\Caos_y_SDNL\guerra-mafias\c_paper\out\experiments\03_critical_transition\frontier_scans_torre\p11_p12_grid\raw\initial_plane__N1_500__N2_500__P11_0p76__P12_0p24__P22_0p76__B_1p15__R_0__E_m0p4__ndiv_8__reps_3.txt
